PROYECTO,TIPO DE PRODUCTO,SUBPRODUCTO,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,COLABORACION,DESCRIPCION,COLABORAC?N INTERNA,ALIADOS  SENECA,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,OTRAS INSTITUCIONES,TIPO DE RELACION,PROYECTO2,TIPO DE COMPROMISO,N£mero de autores,N£mero de autores S‚neca,N£mero de grupos involucrados,N£mero de grupos S‚neca involucrados,N£mero de InstitucIONes,N£mero de InstitucIONes S‚neca,DESCRIPCION PRODUCTO,ENLACE,Caso SSOFI,EstudIantes,Informe de reporte,titulo,Validado Colciencias,Autor 1,Inst Autor 1,Grupo Autor 1,Autor 2,Inst Autor 2,Grupo Autor 2,Autor 3,Inst Autor 3,Grupo Autor 3,Autor 4,Inst Autor 4,Grupo Autor 4,Autor 5,Inst Autor 5,Grupo Autor 5,Autor 6,Inst Autor 6,Grupo Autor 6,Autor 7,Inst Autor 7,Grupo Autor 7,Autor 8,Inst Autor 8,Grupo Autor 8,Autor 9,Inst Autor 9,Grupo Autor 9,Autor 10,Inst Autor 10,Grupo Autor 10,Autor 11,Inst Autor 11,Grupo Autor 11,Autor 12,Inst Autor 12,Grupo Autor 12,Autor 13,Inst Autor 13,Grupo Autor 13,Autor 14,Inst Autor 14,Grupo Autor 14,PublicacION,Factor impacto
PROY12,NUEVO_CONOCIMIONTO,ARTICULO A1,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,OTROS ACTORES,UNIVERSIDAD DE CASTILLA LA MANCHA,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA, UNIVERSIDAD DEL CAUCA",,,,UNIVERSIDAD DE ANTIOQUIA,UNICAUCA,,,,,,,,NINGUNA,,OBLIGATORIO,3,1,2,1,2,1,DOI 10.1021/ACS.IECR.9B00843,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=17TQNT3MFAX4ZHX3GU6AHCK0CWHH1RNBA,1099,,2,PREDICTION OF FLASH-POINT TEMPERATURE OF ALCOHOL/BIODIESEL/DIESEL FUEL BLENDS,,ARNALDO ALVAREZ,UNIVERSIDAD DE ANTIOQUIA,,MAGIN LAPUERTA,UNIVERSIDAD DE CASTILLA LA MANCHA,,JOHN RAMIRO AGUDELO SANTAMARIA,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,3.57
PROY13,NUEVO_CONOCIMIONTO,ARTICULO A2,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,"ITM, PASCUAL BRAVO",NINGUNA,,ADICIONAL,3,1,3,1,3,1,DOI:10.3390/RESOURCES8010051,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1DF_IOIU8KQ7T0LSHOWQ6XPBLMKZZVRMD,1095,,3,MUNICIPAL SOLID WASTE AS A SOURCE OF ELECTRIC POWER GENERATION IN COLOMBIA: A TECHNO-ECONOMIC EVALUATION UNDER DIFFERENT SCENARIOS,,SANTIAGO ALZATE,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,,BONIE RESTREPO CUESTAS,INSTITUTO TECNOLOGICO METROPOLITANO,MATYER,ALVARO JARAMILLO DUQUE,UNIVERSIDAD DE ANTIOQUIA,GIMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESOURCES (ISSN 2079-9276),3.5
PROY13,NUEVO_CONOCIMIONTO,ARTICULO A1,ARTICULO A1,ARTICULO A2,ARTICULO B,ARTICULO C,CAPITULO DE LIBRO A,CAPITULO DE LIBRO A1,CAPITULO DE LIBRO B,LIBRO A,LIBRO A1,LIBRO B,SOLICITUD PATENTE DE INVENCION Y-O MODELO DE UTITLIDAD,PATENTE DE INVENCION,PATENTE DE MODELO DE UTILIDAD,ARTICULO SIN CLASIFICAR,CAPITULO SIN CLASIFICAR,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,2,1,1,1,1,1,DOI:10.3390/EN12071290,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1MHOG12DDTDTCQJOCGSTBSIRVNRBAX92M,1094,,2,CALCULATION OF DISTANCE PROTECTION SETTINGS IN MUTUALLY COUPLED TRANSMISSION LINES: A COMPARATIVE ANALYSIS,,JOSE DE JESUS JARAMILLO SERNA,UNIVERSIDAD DE ANTIOQUIA,GIMEL,JESUS MARIA LOPEZ LEZAMA,UNIVERSIDAD DE ANTIOQUIA,GIMEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENERGIES (ISSN 1996-1073),2.7
PROY1,APROPIACION,PONENCIA,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,TECNOLOGICO DE ANTIOQUIA,NINGUNA,,OBLIGATORIO,3,1,2,1,2,1,"ISBN: 978-84-09-08211-7, INTERNATIONAL CONFERENCE ON RENEWABLE ENERGIES AND POWER QUALITY (ICREPQ?19)",HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1CAVS6N2A-SYPJ78NA7U67XZCGUAEBWCO,,,2,ANALYSIS OF A LIFT AUGMENTED HYDROFOIL FOR HYDROKINETIC TURBINES,,EDWIN LENIN CHICA ARRIETA,UNIVERSIDAD DE ANTIOQUIA,DEPARTAMENTO DE INGENIERIA MECANICA,AINHOA RUBIO CLEMENTE,INSTITUCION UNIVERSITARIA TDEA,FACULTAD DE INGENIERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY1,APROPIACION,PONENCIA,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,TECNOLOGICO DE ANTIOQUIA,NINGUNA,,OBLIGATORIO,3,1,2,1,2,1,"ISBN: 978-84-09-08211-7, INTERNATIONAL CONFERENCE ON RENEWABLE ENERGIES AND POWER QUALITY (ICREPQ?19)",HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=13UIULW92HCOQS_85GPROVKKRBNVEWKMA,,,2,SHAPE OPTIMIZATION OF A MULTI-ELEMENT HYDROFOIL FOR HYDROKINETIC TURBINES USING RESPONSE SURFACE METHODOLOGY,,AINHOA RUBIO CLEMENTE,INSTITUCION UNIVERSITARIA TDEA,FACULTAD DE INGENIERIA,JONATHAN AGUILAR BEDOYA,UNIVERSIDAD DE ANTIOQUIA,DEPARTAMENTO DE INGENIERIA MECANICA,EDWIN LENIN CHICA ARRIETA,UNIVERSIDAD DE ANTIOQUIA,DEPARTAMENTO DE INGENIERIA MECANICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY1,APROPIACION,PONENCIA,PONENCIA,EVENTO CIONTIFICO,CARTILLA,"CURSO DE CAPACITACION, SEMINARIO O TALLER",SOCIALIZACION DE RESULTADOS A ACTORES DEL SECTOR,ARTICULACION DE REDES DE CONOCIMIONTO,CIRCULACION DE CONOCIMIONTO ESPECIALIZADO - BOLETINES,,,,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,3,2,2,2,1,1,IX CONGRESO INTERNACIONAL DE INGENIERIA MECANICA Y MECATRONICA Y VII CONGRESO INTERNACIONAL DE INGENIERIA MECATRONICA Y AUTOMATIZACION. UNIVERSIDAD NACIONAL DE COLOMBIA. BOGOT  8 AL 10 DE MAYO DE 2019,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1PURSL4X4JJH3SAVK-6BNMEJN-RS4VA8P,,,2,CARACTERIZACION EXPERIMIONTAL DEL NYLON ANTE LOS FENOMENOS DE EROSION/CORROSION/CAVITACION PARA LA FABRICACION DE ALABES DE TURBINAS HIDROCINETICAS,,USMA ALBERT,UNIVERSIDAD DE ANTIOQUIA,DEPARTAMENTO DE INGENIERIA MECANICA,RICARDO EMILIO ARISTIZABAL SIERRA,UNIVERSIDAD DE ANTIOQUIA,GIPIMME,EDWIN LENIN CHICA ARRIETA,UNIVERSIDAD DE ANTIOQUIA,DEPARTAMENTO DE INGENIERIA MECANICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY1,FORMACION_RH,VINCULACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,ADICIONAL,,,,,,,JONATHAN AGUILAR BEDOYA - MSC ING. MECANICA,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1ZNQ-NVRXS9ZLPIZT410L18XUUUA1_TW5,1077,EN CURSO,3,MSC EN INGENIERIA MECANICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY1,FORMACION_RH,JOVEN INVESTIGADOR,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,NINGUNA,,ADICIONAL,,,,,,,SARA GOMEZ DIAZ - ING. MECANICA,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1HACJRJYUAPCCBCNSYZXTDT6CQPZI8PA7,1093,,2,INGENIERIA MECANICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY3,FORMACION_RH,VINCULACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA , UNIVERSIDAD DE PAMPLONA",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,PABON ROJAS JONATHAN JAVIER,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1POJHQ1N8QMHYSZ8JXARUDUBHVOGEQQCT,,EN CURSO,3,MAESTRIAEN INGENIERIA MECANICA UNIVERSIDAD DE ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROY14,FORMACION_RH,VINCULACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE DOCTORADO,FORMACION DE ESTUDIONTE DE DOCTORADO,VINCULACION DE ESTUDIONTE DE MAESTRIA,FORMACION DE ESTUDIONTE DE MAESTRIA,VINCULACION DE ESTUDIONTE DE PREGRADO,FORMACION DE ESTUDIONTE DE PREGRADO,JOVEN INVESTIGADOR,PASANTIA NACIONAL,PASANTIA INTERNACIONAL,OTRO,,,,,,,,NINGUNA,,PROYECTO,"UNIVERSIDAD DE ANTIOQUIA, UNIVERSIDAD DEL VALLE, UNIVERSIDAD DEL QUINDIO, UNIVERSIDAD DE NARI¤O",,,,,,,,,,,,,NINGUNA,,OBLIGATORIO,,,,,,,ZUNIGA CORTES FABION ANDRES,HTTPS://DRIVE.GOOGLE.COM/OPEN?ID=1-LJJIL93RCKDDWOTRYQQC8X0UC19WJXV,,EN CURSO,2,DOCTORADO EN INGENIERIA - ENFASIS EN ELECTRICA Y ELECTRONICA - UNIVALLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
